N;data;resultado;mandante;gremio;inter;saldo_gremio;saldo_inter;campeonato;estadio;gols
1;18/07/1909;Grêmio 10 X 0 Internacional;Grêmio;10;0;10;-10;Amistoso;Baixada;Booth (G), Booth (G), Booth (G), Booth (G), Booth (G), Grünewald (G), Grünewald (G), Grünewald (G), Grünewald (G), Moreira (G)
2;17/07/1910;Grêmio 5 X 0 Internacional;Grêmio;5;0;5;-5;Citadino;Baixada;Mostardeiro (G), Booth (G), Booth (G), Geyer (G), Moreira (G)
3;18/06/1911;Grêmio 10 X 1 Internacional;Grêmio;10;1;9;-9;Citadino;Outros;Edwin Cox (G), Vinholes (I), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G), ? (G)
4;23/06/1912;Grêmio 6 X 0 Internacional;Grêmio;6;0;6;-6;Citadino;Baixada;? (G), ? (G), ? (G), ? (G), ? (G), ? (G)
5;15/09/1912;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Galvão (I), Booth (G), Booth (G)
6;08/06/1913;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Citadino;Chácara dos Eucaliptos;Ashlin (G), Ashlin (G), Túlio (I)
7;31/10/1915;Grêmio 1 X 4 Internacional;Grêmio;1;4;-3;3;Amistoso;Baixada;Müller (I), Bedionda (I), Bedionda (I), Tulio (I), Sisson (G)
8;30/07/1916;Internacional 6 X 1 Grêmio;Internacional;1;6;-5;5;Citadino;Chácara dos Eucaliptos;Vares (I), Vares (I), Vares (I), Vares (I), Vares (I), Vares (I), Scalco (G)
9;29/10/1916;Grêmio 2 X 3 Internacional;Grêmio;2;3;-1;1;Citadino;Baixada;Túlio (I), Muller (I), Oswaldo (I), Sisson (G), Assumpção (G)
10;10/05/1918;Internacional 5 X 3 Grêmio;Internacional;3;5;-2;2;Citadino;Chácara dos Eucaliptos;Mário Cunha (I), Mário Cunha (I), Ribas (I), Ribas (I), Guimarães (I), Lagarto (G), Lagarto (G), Pavani (G)
11;04/08/1918;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Citadino;Baixada;Garibotti (G)
12;20/07/1919;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Citadino;Chácara dos Eucaliptos;Carlos Kluwe (I), Pedro (I)
13;14/09/1919;Grêmio 3 X 2 Internacional;Grêmio;3;2;1;-1;Citadino;Baixada;Dorival (G), Lagarto (G), Lewis (G), Gil (I), Bedionda (I)
14;02/05/1920;Internacional 1 X 4 Grêmio;Internacional;4;1;3;-3;Citadino;Chácara dos Eucaliptos;Ramon (G), Ramon (G), Gertum (G), Gertum (G), Geny (I)
15;22/08/1920;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Gertum (G), Lagarto (G), Rosário (I)
16;23/09/1923;Grêmio 3 X 2 Internacional;Grêmio;3;2;1;-1;Amistoso;Baixada;Luiz Carvalho (G), Totte (G), Lagarto (G), Barros (I), Eduardo (I)
17;01/11/1923;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Amistoso;Chácara dos Eucaliptos;Armando (G)
18;27/04/1924;Grêmio 4 X 3 Internacional;Grêmio;4;3;1;-1;Amistoso;Baixada;Totte (G), Totte (G), Totte (G), Léo (G), Geny (I), Ribeiro (I), Ribeiro (I)
19;12/11/1924;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Amistoso;Chácara dos Eucaliptos;Veiga (I), Eduardo (I), Bruno (G)
20;24/05/1925;Grêmio 3 X 3 Internacional;Grêmio;3;3;0;0;Citadino;Baixada;Nenê (G), Corô (G), Meneghetti (contra, G), Barros (I), Barros (I), Veiga (I)
21;11/10/1925;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Citadino;Outros;Oliveiro (G), Luiz Carvalho (G), Barros (I), Barros (I)
22;27/06/1926;Internacional 1 X 4 Grêmio;Internacional;4;1;3;-3;Citadino;Chácara dos Eucaliptos;Luiz Carvalho (G), Esperança (G), Corô (G), Corô (G), Barros (I)
23;14/11/1926;Grêmio 4 X 3 Internacional;Grêmio;4;3;1;-1;Citadino;Baixada;Luiz Carvalho (G), Luiz Carvalho (G), Corô (G), Telêmaco (G), Ribeiro (I), Ribeiro (I), Barros (I)
24;08/05/1927;Internacional 3 X 2 Grêmio;Internacional;2;3;-1;1;Citadino;Chácara dos Eucaliptos;Ross (I), Miro (I), Ribeiro (I), Telêmaco (G), Telêmaco (G)
25;12/06/1927;Grêmio 1 X 3 Internacional;Grêmio;1;3;-2;2;Citadino;Baixada;Nenê (I), Barros (I), Barros (I), Domingos (G)
26;10/06/1928;Internacional 2 X 3 Grêmio;Internacional;3;2;1;-1;Citadino;Chácara dos Eucaliptos;Luiz Carvalho (G), Luiz Carvalho (G), Telêmaco (G), Ross (I), Ribeiro (I)
27;26/08/1928;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Citadino;Baixada;Telêmaco (G), Esperança (G), Ribeiro (I), Ramão (I)
28;19/11/1928;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Amistoso;Chácara dos Eucaliptos;Telêmaco (G), Nenê (G)
29;26/05/1929;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Amistoso;Baixada;Corô (G), Moreno (contra, G), Magno (I)
30;14/07/1929;Internacional 4 X 2 Grêmio;Internacional;2;4;-2;2;Citadino;Chácara dos Eucaliptos;Nenê (I), Ribeiro (I), Lourival (I), Lourival (I), Telêmaco (G), Corô (G)
31;10/11/1929;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Miro (contra, G), Amâncio (G), Dario (contra, I)
32;04/05/1930;Grêmio 3 X 1 Internacional;Grêmio;3;1;2;-2;Citadino;Baixada;Luiz Carvalho (G), Javel (G), Foguinho (G), Risada (I)
33;14/09/1930;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Outros;Javel (G), Miro (I)
34;15/03/1931;Internacional 3 X 0 Grêmio;Internacional;0;3;-3;3;Amistoso;Eucaliptos;Javel (I), Javel (I), Javel (I)
35;26/04/1931;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Citadino;Eucaliptos;Ross (I)
36;28/07/1931;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Amistoso;Baixada;Luiz Carvalho (G), Foguinho (G)
37;18/10/1931;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Artigas (G), Nenê (G), Magno (I)
38;10/07/1932;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Citadino;Baixada;Artigas (G), Nenê (G)
39;30/10/1932;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Citadino;Eucaliptos;Luiz Carvalho (G)
40;09/04/1933;Grêmio 5 X 3 Internacional;Grêmio;5;3;2;-2;Citadino;Baixada;Luiz Carvalho (G), Luiz Carvalho (G), Nenê (G), Nenê (G), Artigas (G), Venenoso (I), Marreco (I), Tupan (I)
41;13/08/1933;Grêmio 3 X 2 Internacional;Grêmio;3;2;1;-1;Citadino;Baixada;Foguinho (G), Heitor (G), Alemãozinho (G), Risada (I), Venenoso (I)
42;24/06/1934;Internacional 4 X 3 Grêmio;Internacional;3;4;-1;1;Citadino;Eucaliptos;Risada (I), Mancuso (I), Tupan (I), Honório (I), Sardinha II (G), Sardinha II (G), Luiz Carvalho (G)
43;21/10/1934;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Citadino;Baixada;Tupan (I), Cavaco (I), Laci (G)
44;28/07/1935;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Citadino;Eucaliptos;Castilho (G), Mancuso (I)
45;22/09/1935;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Citadino;Baixada;Foguinho (G), Laci (G)
46;15/03/1936;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Outros;Casaca (G), Castilhos (I)
47;30/08/1936;Internacional 3 X 2 Grêmio;Internacional;2;3;-1;1;Citadino;Eucaliptos;Risada (I), Mancuso (I), Artigas (I), Russinho (G), Russinho (G)
48;01/11/1936;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Citadino;Eucaliptos;Salvador (I), Artigas (I)
49;31/10/1937;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Alemãozinho (G), Alemãozinho (G), Acácio (I)
50;21/11/1937;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Amistoso;Outros;Casaca (G), Torelli (G)
51;12/12/1937;Internacional 3 X 4 Grêmio;Internacional;4;3;1;-1;Citadino;Eucaliptos;Vanário (G), Casaca (G), Alemãozinho (G), Laci (G), Castilho (I), Acácio (I), Salvador (I)
52;08/05/1938;Internacional 1 X 3 Grêmio;Internacional;3;1;2;-2;Citadino;Eucaliptos;Luiz Carvalho (G), Luiz Carvalho (G), Vanário (G), Silvio Pirillo (I)
53;06/06/1938;Grêmio 4 X 4 Internacional;Grêmio;4;4;0;0;Amistoso;Outros;Luiz Carvalho (G), Casaca (G), Casaca (G), Vanário (G), Silvio Pirillo (I), Silvio Pirillo (I), Carlitos (I), Acácio (I)
54;02/10/1938;Internacional 3 X 4 Grêmio;Internacional;4;3;1;-1;Amistoso;Eucaliptos;Luiz Carvalho (G), Foguinho (G), Mesquita (G), Casaca (G), Acácio (I), Silvio Pirillo (I), Miguel (I)
55;01/11/1938;Grêmio 0 X 6 Internacional;Grêmio;0;6;-6;6;Amistoso;Outros;Acácio (I), Acácio (I), Acácio (I), Silvio Pirillo (I), Filhinho (I), Miguel (I)
56;02/04/1939;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Baixada;Pepito (G), Russinho (I)
57;28/05/1939;Grêmio 2 X 3 Internacional;Grêmio;2;3;-1;1;Amistoso;Outros;Silvio Pirillo (I), Silvio Pirillo (I), Silvio Pirillo (I), César (G), Mesquita (G)
58;20/07/1939;Grêmio 3 X 3 Internacional;Grêmio;3;3;0;0;Amistoso;Baixada;Mesquita (G), Pepito (G), Cesar (G), Brandão (I), Silvio Pirillo (I), Russinho (I)
59;13/08/1939;Internacional 5 X 2 Grêmio;Internacional;2;5;-3;3;Amistoso;Eucaliptos;Filhinho (I), Filhinho (I), Castilho (I), Russinho (I), Silvio Pirillo (I), Cesar (G), Salvador (G)
60;08/10/1939;Internacional 2 X 3 Grêmio;Internacional;3;2;1;-1;Citadino;Eucaliptos;Cesar (G), Alfeu (contra, G), Vanário (G), Carlitos (I), Carlitos (I)
61;17/10/1939;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Citadino;Outros;Rui (I) Mottim (contra, I), Pepito (G)
62;04/01/1940;Grêmio 1 X 6 Internacional;Grêmio;1;6;-5;5;Amistoso;Baixada;Acácio (I), Acácio (I), Acácio (I), Tesourinha (I), Carlitos (I), Carlitos (I), Salvador (G)
63;13/02/1940;Internacional 2 X 4 Grêmio;Internacional;4;2;2;-2;Citadino;Eucaliptos;Salvador (G), Foguinho (G), Foguinho (G), Cesar (G), Acácio (I), Tesourinha (I)
64;28/04/1940;Grêmio 2 X 3 Internacional;Grêmio;2;3;-1;1;Citadino;Baixada;Rui (I), Russinho (I), Carlitos (I), Cesar (G), Cesar (G)
65;07/07/1940;Internacional 2 X 5 Grêmio;Internacional;5;2;3;-3;Citadino;Eucaliptos;Foguinho (G), Foguinho (G), Malaquias (G), Cesar (G), Cesar (G), Marques (I), Marques (I)
66;29/10/1940;Grêmio 3 X 4 Internacional;Grêmio;3;4;-1;1;Citadino;Outros;Tesourinha (I), Tesourinha (I), Russinho (I), Russinho (I), Mário (G), Mário (G), Cesar (G)
67;18/05/1941;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Amistoso;Outros;Ivo (G), Malaquias (G), Carlitos (I), Rui (I)
68;25/05/1941;Grêmio 2 X 3 Internacional;Grêmio;2;3;-1;1;Amistoso;Outros;Carlitos (I), Vilalba (I), Tesourinha (I), Foguinho (G), Foguinho (G)
69;17/08/1941;Internacional 3 X 0 Grêmio;Internacional;0;3;-3;3;Citadino;Eucaliptos;Carlitos (I), Vilalba (I), Vilalba (I)
70;19/10/1941;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Citadino;Baixada;Malaquias (G), Ochotorena (G), Vilalba (I)
71;11/01/1942;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Outros;Malaquias (G), Vilalba (I)
72;19/04/1942;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Outros;Chico (G), Carlitos (I)
73;12/07/1942;Grêmio 2 X 4 Internacional;Grêmio;2;4;-2;2;Citadino;Baixada;Russinho (I), Russinho (I), Vilalba (I), Carlitos (I), Medina (G), Chico (G)
74;30/08/1942;Internacional 4 X 2 Grêmio;Internacional;2;4;-2;2;Citadino;Eucaliptos;Vilalba (I), Carlitos (I), Carlitos (I), Tesourinha (I), Ivo (G), Malaquias (G)
75;28/02/1943;Grêmio 1 X 5 Internacional;Grêmio;1;5;-4;4;Amistoso;Baixada;Carlitos (I), Carlitos (I), Rui (I), Vilalba (I), Tesourinha (I), Neco (G)
76;11/03/1943;Internacional 5 X 1 Grêmio;Internacional;1;5;-4;4;Amistoso;Eucaliptos;Tesourinha (I), Carlitos (I), Rui (I), Rui (I), Ezequial (I), Neco (G)
77;06/06/1943;Grêmio 3 X 3 Internacional;Grêmio;3;3;0;0;Citadino;Outros;Galdino (G), Galdino (G), Soares (G), Abigail (I), Carlitos (I), Vilalba (I)
78;11/07/1943;Internacional 3 X 0 Grêmio;Internacional;0;3;-3;3;Citadino;Eucaliptos;Joane (I), Tesourinha (I), Ênio (I)
79;19/09/1943;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Citadino;Baixada;Rui (I)
80;13/02/1944;Internacional 3 X 2 Grêmio;Internacional;2;3;-1;1;Amistoso;Eucaliptos;Perez (I), Perez (I), Rui (I), Tonguinha (G), Mário (G)
81;30/04/1944;Internacional 4 X 2 Grêmio;Internacional;2;4;-2;2;Citadino;Eucaliptos;Tesourinha (I), Carlitos (I), Rui (I), Assis (I), Ivo (G), Sanghinetti (G)
82;28/05/1944;Grêmio 3 X 7 Internacional;Grêmio;3;7;-4;4;Amistoso;Baixada;Volpi (I), Volpi (I), Volpi (I), Rui (I), Rui (I), Tesourinha (I), Assis (I), Bentevi (G), Vinícius (G), Ivo (G)
83;13/08/1944;Grêmio 4 X 3 Internacional;Grêmio;4;3;1;-1;Citadino;Baixada;Ramon Castro (G), Ramon Castro (G), Bentevi (G), Mário (G), Elizeu (I), Rui (I), Adãozinho (I)
84;08/10/1944;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Citadino;Outros;Carlitos (I), Volpi (I), Ramon Castro (G)
85;09/02/1945;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Amistoso;Outros;Adãozinho (I), Xinxim (I)
86;23/02/1945;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Outros;Bombachudo (G), Adãozinho (I)
87;08/04/1945;Internacional 3 X 2 Grêmio;Internacional;2;3;-1;1;Citadino;Eucaliptos;Carlitos (I), Elizeu (I), Tesourinha (I), Bentevi (G), Mário (G)
88;24/06/1945;Grêmio 1 X 4 Internacional;Grêmio;1;4;-3;3;Citadino;Baixada;Carlitos (I), Tesourinha (I), Adãozinho (I), Adãozinho (I), Segura (G)
89;30/09/1945;Internacional 4 X 2 Grêmio;Internacional;2;4;-2;2;Citadino;Outros;Ivo Aguiar (I), Hugo (contra, I), Tesourinha (I), Carlitos (I), Sanghinetti (G), Massinha (G)
90;05/05/1946;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Amistoso;Outros;Carlitos (I)
91;23/06/1946;Grêmio 4 X 3 Internacional;Grêmio;4;3;1;-1;Amistoso;Outros;Beresi (G), Jorge (G), Jorge (G), Bentevi (G), Adãozinho (I), Elizeu (I), Elizeu (I)
92;14/07/1946;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Citadino;Baixada;Carlitos (I)
93;15/09/1946;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Citadino;Eucaliptos;Cordeiro (G), Cordeiro (G), Carlitos (I)
94;01/05/1947;Grêmio 0 X 4 Internacional;Grêmio;0;4;-4;4;Amistoso;Outros;Joni (contra, I), Tesourinha (I), Vilalba (I), Adãozinho (I)
95;20/07/1947;Internacional 3 X 0 Grêmio;Internacional;0;3;-3;3;Citadino;Eucaliptos;Sanghinetti (contra, I), Adãozinho (I), Vilalba (I)
96;10/08/1947;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Amistoso;Outros;Carlitos (I), Vilalba (I), Massinha (G)
97;05/10/1947;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Citadino;Baixada;Vilalba (I), Carlitos (I), Nena (contra, G)
98;26/10/1947;Grêmio 0 X 3 Internacional;Grêmio;0;3;-3;3;Amistoso;Outros;Carlitos (I), Carlitos (I), Adãozinho (I)
99;23/11/1947;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Citadino;Outros;Beroci (G), Prego (G), Adãozinho (I), Fandinho (I)
100;30/05/1948;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Amistoso;Outros;
101;20/06/1948;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Outros;Teotônio (G), Adãozinho (I)
102;18/07/1948;Grêmio 2 X 6 Internacional;Grêmio;2;6;-4;4;Amistoso;Outros;Carlitos (I), Carlitos (I), Carlitos (I), Vilalba (I), Tesourinha (I), Rebolo (I), Teotônio (G), Prego (G)
103;22/08/1948;Internacional 3 X 2 Grêmio;Internacional;2;3;-1;1;Citadino;Eucaliptos;Elizeu (I), Leônidas (I), Adãozinho (I), Hermes (G), Teotônio (G)
104;17/09/1948;Grêmio 0 X 7 Internacional;Grêmio;0;7;-7;7;Citadino;Baixada;Vilalba (I), Vilalba (I), Vilalba (I), Vilalba (I), Carlitos (I), Carlitos (I), Roberto (I)
105;14/12/1948;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Amistoso;Eucaliptos;Ghizoni (I), Ghizoni (I)
106;01/05/1949;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Amistoso;Outros;Geada (G), Ariovaldo (G), Adãozinho (I), Adãozinho (I)
107;29/05/1949;Grêmio 2 X 4 Internacional;Grêmio;2;4;-2;2;Amistoso;Outros;Vilalba (I), Vilalba (I), Carlitos (I), Tesourinha (I), Ariovaldo (G), Geada (G)
108;28/08/1949;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Baixada;Teotônio (G), Carlitos (I)
109;07/09/1949;Grêmio 0 X 2 Internacional;Grêmio;0;2;-2;2;Amistoso;Outros;Vilalba (I), Adãozinho (I)
110;30/10/1949;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Citadino;Eucaliptos;Geada (G)
111;14/03/1950;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Amistoso;Outros;Alberi (I), Ghizoni (I)
112;23/03/1950;Grêmio 3 X 0 Internacional;Grêmio;3;0;3;-3;Amistoso;Outros;Sano (G), Sano (G), Balejo (G)
113;01/04/1950;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Outros;Apis (G), Ghizoni (I)
114;25/06/1950;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Amistoso;Eucaliptos;Ariovaldo (G)
115;27/08/1950;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Amistoso;Outros;Herculano (I)
116;28/10/1950;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Citadino;Eucaliptos;
117;24/12/1950;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Citadino;Baixada;
118;27/12/1950;Grêmio 3 X 4 Internacional;Grêmio;3;4;-1;1;Citadino;Outros;Carlitos (I), Carlitos (I), Solis (I), Solis (I), Ariovaldo (G), Dirceu (G), Apis (G)
119;30/12/1950;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Citadino;Outros;Adãozinho (I)
120;03/01/1951;Grêmio 0 X 3 Internacional;Grêmio;0;3;-3;3;Amistoso;Outros;Solis (I), Carlitos (I), Carlitos (I)
121;27/05/1951;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Amistoso;Baixada;
122;20/06/1951;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Amistoso;Eucaliptos;Geada (G), Apis (G), Canhotinho (I)
123;26/08/1951;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Citadino;Baixada;Ferraz (G), Huguinho (I)
124;02/12/1951;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Citadino;Eucaliptos;Ferraz (G), Ferraz (G), Solis (I), Huguinho (I)
125;13/07/1952;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Amistoso;Baixada;Gita (G), Camacho (G), Camargo (I)
126;17/08/1952;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Amistoso;Outros;Pedrinho (G), Bodinho (I)
127;12/10/1952;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Citadino;Baixada;
